"","Deployment_fk","Receiver","Station","Zone","Latitude","Longitude","Mooring_type","Quality","Time","Milliseconds","Number_clicks_filtered","Number_clicks_total","Lost_minutes","Dpm","Dp10m","Dph","Recorded","Click_frequency","Click_intensity"
"28",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-26,83325,3653,812469,34,77,27,13,1440,0.0534722222222222,68315.8441558442
"29",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-27,77765,2718,1255994,23,64,26,12,1440,0.0444444444444444,61155
"30",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-28,92668,2907,969749,15,79,25,14,1440,0.0548611111111111,52988.3544303797
"31",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-29,72026,2061,1362637,29,71,30,15,1440,0.0493055555555556,41800.5633802817
"32",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-30,39172,1405,743002,16,40,18,12,1440,0.0277777777777778,50580
"33",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-31,80464,2687,721719,18,83,30,14,1440,0.0576388888888889,46617.8313253012
"34",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-01,94842,2681,929654,25,79,29,13,1440,0.0548611111111111,48868.8607594937
"35",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-02,30099,823,2161981,76,23,9,6,1440,0.0159722222222222,51526.9565217391
"36",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-03,11006,572,2836342,205,17,11,8,1440,0.0118055555555556,48451.7647058824
"37",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-04,52095,1755,2788560,184,30,12,10,1440,0.0208333333333333,84240
"38",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-05,30237,1257,1374820,23,54,28,16,1440,0.0375,33520
"39",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-06,27931,1199,1371012,21,43,23,13,1440,0.0298611111111111,40152.5581395349
"40",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-07,123020,3424,1426338,14,87,32,16,1440,0.0604166666666667,56673.1034482759
"41",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-08,33719,1362,1611911,34,28,13,8,1440,0.0194444444444444,70045.7142857143
"42",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-09,30359,1027,2123998,156,44,16,6,1440,0.0305555555555556,33610.9090909091
"43",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-10,55922,1462,1740260,88,31,17,9,1440,0.0215277777777778,67912.2580645161
"44",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-11,28183,814,1603636,15,32,13,9,1440,0.0222222222222222,36630
"45",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-12,31813,1144,1304115,10,40,17,10,1440,0.0277777777777778,41184
"46",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-13,21667,901,1540528,15,34,16,8,1440,0.0236111111111111,38160
"47",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-14,35182,1566,1112804,35,42,19,12,1440,0.0291666666666667,53691.4285714286
"48",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-15,54172,1640,1495016,133,41,14,8,1440,0.0284722222222222,57600
"49",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-16,51979,1233,1629305,45,32,10,6,1440,0.0222222222222222,55485
"50",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-17,60793,2063,1213590,17,51,19,12,1440,0.0354166666666667,58249.4117647059
"51",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-18,5872,53,1390958,22,4,4,4,1440,0.00277777777777778,19080
"52",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-19,33820,1078,1638767,24,31,14,9,1440,0.0215277777777778,50074.8387096774
"53",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-20,24204,837,2611106,165,31,14,11,1440,0.0215277777777778,38880
"54",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-21,13931,319,3573051,364,12,7,5,1440,0.00833333333333333,38280
"55",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-22,10701,333,2645948,77,10,7,7,1440,0.00694444444444444,47952
"56",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-23,127089,4896,1402690,60,130,39,16,1440,0.0902777777777778,54232.6153846154
"57",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-24,89052,2629,1125911,25,66,25,12,1440,0.0458333333333333,57360
"58",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-25,25334,620,867674,57,19,10,8,1440,0.0131944444444444,46989.4736842105
"59",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-26,57007,2042,802317,37,60,16,6,1440,0.0416666666666667,49008
"60",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-27,41511,1140,1237191,21,35,16,8,1440,0.0243055555555556,46902.8571428571
"61",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-28,6537,164,1789943,46,10,9,7,1440,0.00694444444444444,23616
"62",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-29,10066,415,1174611,12,12,6,5,1440,0.00833333333333333,49800
"63",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-30,47080,1505,961241,44,41,18,10,1440,0.0284722222222222,52858.5365853659
"64",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-08-31,1989,66,1223903,50,6,5,4,1440,0.00416666666666667,15840
"65",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-01,19123,778,1265223,37,23,11,8,1440,0.0159722222222222,48709.5652173913
"66",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-02,15408,419,1560817,25,10,4,3,1440,0.00694444444444444,60336
"67",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-03,21162,733,1448091,18,14,9,6,1440,0.00972222222222222,75394.2857142857
"68",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-04,25088,735,2870668,132,24,7,5,1440,0.0166666666666667,44100
"69",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-05,2635,146,1591345,46,8,6,4,1440,0.00555555555555556,26280
"70",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-06,17500,546,941954,24,21,9,5,1440,0.0145833333333333,37440
"71",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-07,1750,111,1050343,29,3,1,1,1440,0.00208333333333333,53280
